               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.056578,            0.027361,            0.018821,          0.00053763,             0.16667,           0.0010417,          0.00010417,            0.035876,           0.0082491,           0.0083904,            0.007723,            0.007723,            0.007723
                  71,            0.064422,            0.029907,            0.020244,          0.00056054,             0.16667,           0.0013177,          0.00013177,            0.036017,           0.0084813,           0.0082547,             0.00769,             0.00769,             0.00769
                  72,            0.052634,             0.03072,            0.018153,           0.0005531,             0.16667,           0.0013001,          0.00013001,            0.035919,           0.0084383,           0.0083879,            0.007657,            0.007657,            0.007657
                  73,             0.04697,            0.027989,            0.015752,          0.00055804,             0.16667,           0.0022788,          0.00022788,            0.035827,           0.0083674,           0.0085613,            0.007624,            0.007624,            0.007624
                  74,            0.050838,            0.030983,            0.016613,          0.00056561,             0.16667,           0.0030266,          0.00030266,            0.035731,           0.0082619,           0.0085803,            0.007591,            0.007591,            0.007591
                  75,            0.061232,            0.023769,             0.01969,          0.00055556,             0.16667,           0.0044791,          0.00044791,             0.03536,           0.0082252,           0.0085949,            0.007558,            0.007558,            0.007558
                  76,            0.058006,            0.029317,            0.018996,          0.00056433,             0.16667,           0.0068872,          0.00068872,             0.03532,           0.0081583,           0.0085365,            0.007525,            0.007525,            0.007525
                  77,            0.049899,            0.024953,            0.016513,          0.00056883,             0.16667,           0.0094942,          0.00094942,            0.035598,           0.0079831,           0.0084472,            0.007492,            0.007492,            0.007492
                  78,            0.051501,            0.024692,            0.016399,          0.00057143,             0.16667,            0.015417,           0.0015417,            0.035539,           0.0079482,           0.0084204,            0.007459,            0.007459,            0.007459
                  79,            0.054165,            0.026297,            0.017737,           0.0005767,             0.16667,           0.0016352,          0.00016352,            0.035431,           0.0075425,            0.008453,            0.007426,            0.007426,            0.007426
                  80,            0.053192,            0.025991,            0.017262,          0.00055066,             0.16667,          0.00086076,          8.6076e-05,            0.035293,           0.0074046,           0.0084165,            0.007393,            0.007393,            0.007393
                  81,            0.067121,            0.025552,            0.019519,          0.00054289,             0.16667,          0.00075172,          7.5172e-05,            0.034806,             0.00739,           0.0082803,             0.00736,             0.00736,             0.00736
                  82,            0.067514,            0.028236,            0.017896,                   0,                   0,                   0,                   0,            0.034597,           0.0072979,           0.0082852,            0.007327,            0.007327,            0.007327
                  83,             0.05368,            0.026145,            0.020896,                   0,                   0,                   0,                   0,            0.034085,           0.0071743,           0.0083156,            0.007294,            0.007294,            0.007294
                  84,             0.05474,            0.028207,            0.017827,                   0,                   0,                   0,                   0,            0.033531,           0.0071278,           0.0083338,            0.007261,            0.007261,            0.007261
                  85,            0.049342,            0.026571,            0.018608,                   0,                   0,                   0,                   0,            0.033519,           0.0070687,           0.0083068,            0.007228,            0.007228,            0.007228
                  86,            0.052134,            0.027018,              0.0187,                   0,                   0,                   0,                   0,            0.033518,           0.0070911,           0.0082582,            0.007195,            0.007195,            0.007195
                  87,            0.056053,            0.028428,            0.018963,                   0,                   0,                   0,                   0,            0.033578,           0.0071063,           0.0082048,            0.007162,            0.007162,            0.007162
                  88,            0.050103,            0.025631,            0.017594,                   0,                   0,                   0,                   0,            0.033592,           0.0072745,           0.0080668,            0.007129,            0.007129,            0.007129
                  89,            0.050829,            0.026641,            0.017653,                   0,                   0,                   0,                   0,            0.033409,           0.0074082,           0.0080138,            0.007096,            0.007096,            0.007096
                  90,             0.06584,            0.032848,            0.017457,                   0,                   0,                   0,                   0,            0.033468,           0.0074149,           0.0080189,            0.007063,            0.007063,            0.007063
                  91,            0.042755,            0.026664,            0.013771,                   0,                   0,                   0,                   0,            0.033294,           0.0074666,           0.0080385,             0.00703,             0.00703,             0.00703
                  92,             0.05313,            0.029908,            0.018626,                   0,                   0,                   0,                   0,            0.033376,           0.0074615,           0.0080409,            0.006997,            0.006997,            0.006997
                  93,            0.053172,            0.030907,            0.019823,                   0,                   0,                   0,                   0,            0.033388,           0.0074748,           0.0080077,            0.006964,            0.006964,            0.006964
                  94,            0.051209,             0.02829,            0.015602,                   0,                   0,                   0,                   0,             0.03365,           0.0074722,           0.0080286,            0.006931,            0.006931,            0.006931
                  95,              0.0582,             0.02966,             0.01648,                   0,                   0,                   0,                   0,            0.034497,           0.0075716,           0.0082706,            0.006898,            0.006898,            0.006898
                  96,            0.044629,            0.025985,            0.015582,          0.00055432,             0.16667,          0.00055856,          5.5856e-05,            0.035057,           0.0076939,            0.008491,            0.006865,            0.006865,            0.006865
                  97,            0.055189,            0.032014,            0.017146,          0.00055928,             0.16667,          0.00055201,          5.5201e-05,            0.035444,           0.0079522,           0.0086917,            0.006832,            0.006832,            0.006832
                  98,            0.064545,            0.031396,            0.020228,          0.00055679,             0.16667,            0.000548,            5.48e-05,            0.035603,           0.0079297,           0.0087363,            0.006799,            0.006799,            0.006799
                  99,            0.048499,            0.029152,            0.017573,          0.00058411,             0.16667,           0.0005954,           5.954e-05,            0.036245,           0.0085597,           0.0082548,            0.006766,            0.006766,            0.006766
                 100,            0.060563,            0.028844,            0.021534,           0.0006068,             0.16667,          0.00069681,          6.9681e-05,            0.036131,           0.0087052,           0.0081894,            0.006733,            0.006733,            0.006733
                 101,            0.051024,            0.026856,            0.018764,          0.00064185,             0.16667,          0.00096737,          9.6737e-05,            0.036254,           0.0087474,           0.0084045,              0.0067,              0.0067,              0.0067
                 102,            0.048446,            0.029929,            0.016646,           0.0012837,             0.33333,           0.0031477,          0.00031477,            0.036067,           0.0086634,           0.0087009,            0.006667,            0.006667,            0.006667
                 103,            0.049167,            0.028716,            0.017645,           0.0012136,             0.33333,           0.0026438,          0.00044252,            0.035687,           0.0084165,           0.0089467,            0.006634,            0.006634,            0.006634
                 104,            0.055948,            0.024888,            0.018576,          0.00059453,             0.16667,          0.00070785,          7.0785e-05,            0.035907,           0.0083815,           0.0086624,            0.006601,            0.006601,            0.006601
                 105,             0.05689,            0.027603,            0.018336,          0.00058962,             0.16667,          0.00070159,          7.0159e-05,            0.035862,           0.0083175,           0.0084611,            0.006568,            0.006568,            0.006568
                 106,            0.051576,            0.028582,            0.016044,          0.00058824,             0.16667,          0.00068485,          6.8485e-05,            0.035684,           0.0082706,           0.0084553,            0.006535,            0.006535,            0.006535
                 107,            0.049954,            0.026098,            0.015139,          0.00058685,             0.16667,          0.00064856,          6.4856e-05,            0.035579,           0.0081075,           0.0085533,            0.006502,            0.006502,            0.006502
                 108,            0.048602,            0.029666,            0.016974,          0.00058754,             0.16667,          0.00073518,          7.3518e-05,            0.035685,           0.0080462,           0.0085113,            0.006469,            0.006469,            0.006469
                 109,             0.04739,            0.026546,            0.017276,          0.00058072,             0.16667,           0.0007454,           7.454e-05,            0.035771,           0.0077614,           0.0086052,            0.006436,            0.006436,            0.006436
                 110,            0.043105,             0.03002,            0.016104,          0.00055866,             0.16667,          0.00069286,          6.9286e-05,            0.036079,           0.0075729,           0.0086906,            0.006403,            0.006403,            0.006403
                 111,            0.047438,            0.025009,            0.015667,                   0,                   0,                   0,                   0,            0.036007,           0.0072158,            0.008957,             0.00637,             0.00637,             0.00637
                 112,            0.047512,            0.027981,            0.016065,                   0,                   0,                   0,                   0,            0.035426,           0.0071388,            0.009066,            0.006337,            0.006337,            0.006337
                 113,            0.055714,            0.035995,             0.02126,                   0,                   0,                   0,                   0,            0.034198,           0.0072937,           0.0087966,            0.006304,            0.006304,            0.006304
                 114,            0.045895,            0.026517,            0.017341,                   0,                   0,                   0,                   0,            0.033555,           0.0074789,           0.0086342,            0.006271,            0.006271,            0.006271
                 115,            0.055723,            0.027353,            0.021008,                   0,                   0,                   0,                   0,            0.033632,           0.0077262,           0.0086121,            0.006238,            0.006238,            0.006238
                 116,             0.04538,            0.029597,            0.016592,                   0,                   0,                   0,                   0,            0.031809,           0.0076293,           0.0085266,            0.006205,            0.006205,            0.006205
                 117,            0.056929,            0.029145,            0.018226,                   0,                   0,                   0,                   0,            0.030732,            0.007696,           0.0085689,            0.006172,            0.006172,            0.006172
                 118,            0.050373,            0.026651,            0.018905,                   0,                   0,                   0,                   0,            0.030496,           0.0074915,            0.008531,            0.006139,            0.006139,            0.006139
                 119,            0.055166,            0.030135,            0.019507,                   0,                   0,                   0,                   0,            0.030869,           0.0070023,           0.0085199,            0.006106,            0.006106,            0.006106
                 120,             0.04817,            0.027463,            0.018696,                   0,                   0,                   0,                   0,            0.031274,           0.0069497,           0.0084165,            0.006073,            0.006073,            0.006073
                 121,            0.042712,            0.026141,             0.01747,          0.00056689,             0.16667,          0.00098185,          9.8185e-05,            0.031931,           0.0069963,           0.0080732,             0.00604,             0.00604,             0.00604
                 122,            0.058178,            0.026985,            0.018826,          0.00056054,             0.16667,          0.00093702,          9.3702e-05,            0.032336,           0.0069433,           0.0080724,            0.006007,            0.006007,            0.006007
                 123,            0.049766,            0.025676,            0.017412,                   0,                   0,                   0,                   0,            0.032963,           0.0068927,           0.0081197,            0.005974,            0.005974,            0.005974
